Imagen,Nivel_Ruido,Algoritmo,PSNR,F1-Score,Tiempo_ms
10081_bajo.png,bajo,sobel,6.23,0.0841,1.14
14085_bajo.png,bajo,sobel,9.36,0.0303,1.06
14092_bajo.png,bajo,sobel,8.0,0.0399,1.03
15011_bajo.png,bajo,sobel,7.67,0.1727,1.1
15062_bajo.png,bajo,sobel,9.06,0.0593,1.01
16004_bajo.png,bajo,sobel,9.28,0.1198,1.1
16068_bajo.png,bajo,sobel,10.64,0.0353,1.06
17067_bajo.png,bajo,sobel,6.99,0.0805,1.19
20069_bajo.png,bajo,sobel,6.92,0.1621,1.24
2018_bajo.png,bajo,sobel,4.78,0.189,1.25
23050_bajo.png,bajo,sobel,9.47,0.1407,1.26
3063_bajo.png,bajo,sobel,5.86,0.1895,1.04
5096_bajo.png,bajo,sobel,11.06,0.1313,1.11
6046_bajo.png,bajo,sobel,7.34,0.0662,1.09
8068_bajo.png,bajo,sobel,8.14,0.1662,1.12
10081_bajo.png,bajo,prewitt,5.47,0.0476,1.19
14085_bajo.png,bajo,prewitt,7.95,0.0277,1.13
14092_bajo.png,bajo,prewitt,6.56,0.0297,1.11
15011_bajo.png,bajo,prewitt,7.03,0.1512,1.17
15062_bajo.png,bajo,prewitt,7.06,0.0927,1.17
16004_bajo.png,bajo,prewitt,8.2,0.1218,1.14
16068_bajo.png,bajo,prewitt,9.81,0.0351,1.05
17067_bajo.png,bajo,prewitt,6.74,0.0775,1.22
20069_bajo.png,bajo,prewitt,6.0,0.1505,1.31
2018_bajo.png,bajo,prewitt,4.61,0.1608,1.56
23050_bajo.png,bajo,prewitt,9.29,0.1374,1.27
3063_bajo.png,bajo,prewitt,5.07,0.1618,1.02
5096_bajo.png,bajo,prewitt,11.5,0.1164,1.13
6046_bajo.png,bajo,prewitt,6.77,0.0705,1.25
8068_bajo.png,bajo,prewitt,7.44,0.2029,1.05
10081_bajo.png,bajo,canny,4.7,0.0678,0.5
14085_bajo.png,bajo,canny,6.0,0.0273,0.56
14092_bajo.png,bajo,canny,4.96,0.0328,0.62
15011_bajo.png,bajo,canny,5.59,0.1336,0.49
15062_bajo.png,bajo,canny,5.87,0.0497,0.53
16004_bajo.png,bajo,canny,6.57,0.1003,0.53
16068_bajo.png,bajo,canny,7.86,0.0423,0.52
17067_bajo.png,bajo,canny,5.17,0.0585,0.72
20069_bajo.png,bajo,canny,5.13,0.1222,0.47
2018_bajo.png,bajo,canny,3.88,0.1498,0.57
23050_bajo.png,bajo,canny,7.29,0.1153,0.65
3063_bajo.png,bajo,canny,4.34,0.1277,0.35
5096_bajo.png,bajo,canny,8.42,0.1062,0.5
6046_bajo.png,bajo,canny,5.08,0.0509,0.72
8068_bajo.png,bajo,canny,6.63,0.1061,0.35
10081_medio.png,medio,sobel,6.53,0.0831,1.12
14085_medio.png,medio,sobel,9.48,0.0303,1.06
14092_medio.png,medio,sobel,8.13,0.0405,1.05
15011_medio.png,medio,sobel,7.86,0.1708,1.09
15062_medio.png,medio,sobel,9.17,0.0583,1.0
16004_medio.png,medio,sobel,9.42,0.1183,1.09
16068_medio.png,medio,sobel,10.76,0.036,1.07
17067_medio.png,medio,sobel,7.12,0.0788,1.16
20069_medio.png,medio,sobel,7.17,0.1595,1.2
2018_medio.png,medio,sobel,4.99,0.1878,1.18
23050_medio.png,medio,sobel,9.57,0.1397,1.2
3063_medio.png,medio,sobel,6.14,0.185,1.03
5096_medio.png,medio,sobel,11.2,0.1302,1.12
6046_medio.png,medio,sobel,7.44,0.066,1.15
8068_medio.png,medio,sobel,8.29,0.1644,1.09
10081_medio.png,medio,prewitt,5.59,0.048,1.24
14085_medio.png,medio,prewitt,8.0,0.0293,1.13
14092_medio.png,medio,prewitt,6.61,0.0306,1.13
15011_medio.png,medio,prewitt,7.11,0.1522,1.26
15062_medio.png,medio,prewitt,7.1,0.0893,1.15
16004_medio.png,medio,prewitt,8.25,0.125,1.14
16068_medio.png,medio,prewitt,9.86,0.0359,1.15
17067_medio.png,medio,prewitt,6.8,0.0754,1.36
20069_medio.png,medio,prewitt,6.1,0.1491,1.35
2018_medio.png,medio,prewitt,4.7,0.1585,1.26
23050_medio.png,medio,prewitt,9.34,0.1374,1.27
3063_medio.png,medio,prewitt,5.18,0.1595,1.18
5096_medio.png,medio,prewitt,11.6,0.1169,1.24
6046_medio.png,medio,prewitt,6.83,0.069,1.27
8068_medio.png,medio,prewitt,7.51,0.2024,1.11
10081_medio.png,medio,canny,4.71,0.071,0.48
14085_medio.png,medio,canny,6.0,0.0279,0.76
14092_medio.png,medio,canny,4.95,0.0309,0.8
15011_medio.png,medio,canny,5.57,0.1317,0.53
15062_medio.png,medio,canny,5.86,0.0482,0.57
16004_medio.png,medio,canny,6.56,0.097,0.51
16068_medio.png,medio,canny,7.82,0.0436,0.52
17067_medio.png,medio,canny,5.14,0.0576,0.7
20069_medio.png,medio,canny,5.11,0.1351,0.44
2018_medio.png,medio,canny,3.88,0.1485,0.54
23050_medio.png,medio,canny,7.28,0.1142,0.6
3063_medio.png,medio,canny,4.34,0.1299,0.32
5096_medio.png,medio,canny,8.37,0.1041,0.5
6046_medio.png,medio,canny,5.06,0.0516,0.76
8068_medio.png,medio,canny,6.64,0.1032,0.48
10081_alto.png,alto,sobel,6.92,0.0826,1.16
14085_alto.png,alto,sobel,9.62,0.0289,1.0
14092_alto.png,alto,sobel,8.31,0.0377,1.02
15011_alto.png,alto,sobel,8.08,0.1668,1.05
15062_alto.png,alto,sobel,9.29,0.0576,0.94
16004_alto.png,alto,sobel,9.59,0.1175,1.03
16068_alto.png,alto,sobel,10.87,0.0358,1.02
17067_alto.png,alto,sobel,7.23,0.0776,1.11
20069_alto.png,alto,sobel,7.47,0.1579,1.17
2018_alto.png,alto,sobel,5.23,0.1858,1.14
23050_alto.png,alto,sobel,9.64,0.1381,1.24
3063_alto.png,alto,sobel,6.51,0.1748,1.1
5096_alto.png,alto,sobel,11.3,0.1274,1.18
6046_alto.png,alto,sobel,7.56,0.0652,1.11
8068_alto.png,alto,sobel,8.43,0.1593,1.06
10081_alto.png,alto,prewitt,5.75,0.048,1.2
14085_alto.png,alto,prewitt,8.06,0.0266,1.11
14092_alto.png,alto,prewitt,6.69,0.0282,1.1
15011_alto.png,alto,prewitt,7.21,0.1493,1.13
15062_alto.png,alto,prewitt,7.15,0.0888,1.15
16004_alto.png,alto,prewitt,8.33,0.124,1.15
16068_alto.png,alto,prewitt,9.93,0.0366,1.09
17067_alto.png,alto,prewitt,6.86,0.0761,1.25
20069_alto.png,alto,prewitt,6.22,0.1497,1.23
2018_alto.png,alto,prewitt,4.81,0.1569,1.26
23050_alto.png,alto,prewitt,9.39,0.1355,1.37
3063_alto.png,alto,prewitt,5.33,0.157,1.16
5096_alto.png,alto,prewitt,11.68,0.1147,1.14
6046_alto.png,alto,prewitt,6.89,0.0677,1.24
8068_alto.png,alto,prewitt,7.59,0.2017,1.1
10081_alto.png,alto,canny,4.71,0.0686,0.52
14085_alto.png,alto,canny,5.98,0.0259,0.59
14092_alto.png,alto,canny,4.95,0.0309,0.62
15011_alto.png,alto,canny,5.53,0.1259,0.53
15062_alto.png,alto,canny,5.86,0.0449,0.7
16004_alto.png,alto,canny,6.55,0.096,0.64
16068_alto.png,alto,canny,7.73,0.0403,0.56
17067_alto.png,alto,canny,5.08,0.0552,0.74
20069_alto.png,alto,canny,5.11,0.1298,0.46
2018_alto.png,alto,canny,3.87,0.1485,0.55
23050_alto.png,alto,canny,7.25,0.1129,0.61
3063_alto.png,alto,canny,4.34,0.1108,0.34
5096_alto.png,alto,canny,8.24,0.1011,0.5
6046_alto.png,alto,canny,5.05,0.0517,0.79
8068_alto.png,alto,canny,6.61,0.1022,0.37
