Imagen,Nivel_Ruido,Algoritmo,PSNR,F1-Score,Tiempo_ms
10081_bajo.png,bajo,sobel,6.22,0.0851,1.89
14085_bajo.png,bajo,sobel,9.36,0.0306,1.46
14092_bajo.png,bajo,sobel,8.01,0.0404,1.45
15011_bajo.png,bajo,sobel,7.67,0.1723,1.83
15062_bajo.png,bajo,sobel,9.06,0.0576,1.5
16004_bajo.png,bajo,sobel,9.28,0.1201,1.44
16068_bajo.png,bajo,sobel,10.65,0.0355,1.52
17067_bajo.png,bajo,sobel,6.99,0.0794,1.46
20069_bajo.png,bajo,sobel,6.93,0.1606,1.56
2018_bajo.png,bajo,sobel,4.78,0.1886,1.74
23050_bajo.png,bajo,sobel,9.48,0.1402,1.81
3063_bajo.png,bajo,sobel,5.85,0.1908,1.91
5096_bajo.png,bajo,sobel,11.05,0.1303,1.78
6046_bajo.png,bajo,sobel,7.34,0.0668,1.85
8068_bajo.png,bajo,sobel,8.14,0.1665,1.82
10081_bajo.png,bajo,prewitt,5.47,0.0487,0.46
14085_bajo.png,bajo,prewitt,7.95,0.0282,0.19
14092_bajo.png,bajo,prewitt,6.56,0.0303,0.19
15011_bajo.png,bajo,prewitt,7.03,0.1528,0.2
15062_bajo.png,bajo,prewitt,7.06,0.0914,0.19
16004_bajo.png,bajo,prewitt,8.2,0.123,0.19
16068_bajo.png,bajo,prewitt,9.81,0.0352,0.19
17067_bajo.png,bajo,prewitt,6.73,0.0764,0.19
20069_bajo.png,bajo,prewitt,6.0,0.152,0.19
2018_bajo.png,bajo,prewitt,4.61,0.1591,0.25
23050_bajo.png,bajo,prewitt,9.29,0.1362,0.3
3063_bajo.png,bajo,prewitt,5.07,0.1633,0.31
5096_bajo.png,bajo,prewitt,11.5,0.1159,0.24
6046_bajo.png,bajo,prewitt,6.77,0.0695,0.26
8068_bajo.png,bajo,prewitt,7.44,0.2022,0.24
10081_bajo.png,bajo,canny,4.7,0.0714,0.45
14085_bajo.png,bajo,canny,6.01,0.0283,0.46
14092_bajo.png,bajo,canny,4.96,0.0331,0.65
15011_bajo.png,bajo,canny,5.59,0.1331,0.49
15062_bajo.png,bajo,canny,5.86,0.0486,0.53
16004_bajo.png,bajo,canny,6.58,0.0973,0.51
16068_bajo.png,bajo,canny,7.87,0.0417,0.49
17067_bajo.png,bajo,canny,5.16,0.0586,0.56
20069_bajo.png,bajo,canny,5.12,0.1284,0.38
2018_bajo.png,bajo,canny,3.88,0.15,0.5
23050_bajo.png,bajo,canny,7.3,0.115,0.54
3063_bajo.png,bajo,canny,4.34,0.1288,0.38
5096_bajo.png,bajo,canny,8.45,0.1071,0.44
6046_bajo.png,bajo,canny,5.07,0.0512,0.62
8068_bajo.png,bajo,canny,6.63,0.1054,0.46
10081_bajo.png,bajo,pidinet,5.63,0.1562,183.12
14085_bajo.png,bajo,pidinet,6.75,0.0446,171.49
14092_bajo.png,bajo,pidinet,5.88,0.0926,170.51
15011_bajo.png,bajo,pidinet,6.85,0.1922,166.35
15062_bajo.png,bajo,pidinet,5.72,0.1549,164.05
16004_bajo.png,bajo,pidinet,8.06,0.1537,164.86
16068_bajo.png,bajo,pidinet,9.33,0.1423,167.89
17067_bajo.png,bajo,pidinet,7.15,0.1578,170.67
20069_bajo.png,bajo,pidinet,6.31,0.1505,171.19
2018_bajo.png,bajo,pidinet,4.81,0.1618,173.44
23050_bajo.png,bajo,pidinet,9.0,0.184,175.82
3063_bajo.png,bajo,pidinet,4.94,0.1201,172.5
5096_bajo.png,bajo,pidinet,10.95,0.1931,174.52
6046_bajo.png,bajo,pidinet,6.24,0.1543,179.87
8068_bajo.png,bajo,pidinet,7.73,0.1723,175.0
10081_bajo.png,bajo,dexined,9.5,0.0331,551.64
14085_bajo.png,bajo,dexined,8.88,0.0177,552.62
14092_bajo.png,bajo,dexined,8.74,0.0351,557.74
15011_bajo.png,bajo,dexined,8.3,0.0595,562.72
15062_bajo.png,bajo,dexined,8.13,0.0286,557.37
16004_bajo.png,bajo,dexined,8.29,0.0511,554.19
16068_bajo.png,bajo,dexined,8.72,0.0246,552.46
17067_bajo.png,bajo,dexined,7.55,0.0388,560.07
20069_bajo.png,bajo,dexined,8.34,0.0302,593.32
2018_bajo.png,bajo,dexined,6.92,0.0602,632.54
23050_bajo.png,bajo,dexined,7.92,0.0709,640.16
3063_bajo.png,bajo,dexined,9.04,0.0129,632.88
5096_bajo.png,bajo,dexined,7.72,0.053,637.81
6046_bajo.png,bajo,dexined,8.03,0.0387,648.02
8068_bajo.png,bajo,dexined,7.04,0.0284,691.62
10081_medio.png,medio,sobel,6.52,0.0838,1.84
14085_medio.png,medio,sobel,9.48,0.0294,2.12
14092_medio.png,medio,sobel,8.14,0.0395,1.83
15011_medio.png,medio,sobel,7.85,0.1722,1.83
15062_medio.png,medio,sobel,9.16,0.0584,1.79
16004_medio.png,medio,sobel,9.42,0.1184,1.75
16068_medio.png,medio,sobel,10.75,0.0354,1.82
17067_medio.png,medio,sobel,7.12,0.0799,1.91
20069_medio.png,medio,sobel,7.18,0.1603,1.77
2018_medio.png,medio,sobel,4.99,0.1885,1.77
23050_medio.png,medio,sobel,9.57,0.1397,1.88
3063_medio.png,medio,sobel,6.15,0.1847,1.84
5096_medio.png,medio,sobel,11.19,0.1305,1.84
6046_medio.png,medio,sobel,7.45,0.0665,1.98
8068_medio.png,medio,sobel,8.29,0.1631,1.82
10081_medio.png,medio,prewitt,5.59,0.0476,0.25
14085_medio.png,medio,prewitt,8.0,0.029,0.26
14092_medio.png,medio,prewitt,6.62,0.0292,0.24
15011_medio.png,medio,prewitt,7.11,0.1516,0.24
15062_medio.png,medio,prewitt,7.1,0.0913,0.24
16004_medio.png,medio,prewitt,8.25,0.122,0.23
16068_medio.png,medio,prewitt,9.86,0.035,0.24
17067_medio.png,medio,prewitt,6.8,0.0762,0.27
20069_medio.png,medio,prewitt,6.1,0.1462,0.25
2018_medio.png,medio,prewitt,4.71,0.1587,0.24
23050_medio.png,medio,prewitt,9.34,0.1366,0.26
3063_medio.png,medio,prewitt,5.19,0.1579,0.25
5096_medio.png,medio,prewitt,11.59,0.118,0.24
6046_medio.png,medio,prewitt,6.83,0.0693,0.24
8068_medio.png,medio,prewitt,7.51,0.2002,0.23
10081_medio.png,medio,canny,4.7,0.0689,0.43
14085_medio.png,medio,canny,5.99,0.0256,0.51
14092_medio.png,medio,canny,4.95,0.0321,0.63
15011_medio.png,medio,canny,5.57,0.1317,0.58
15062_medio.png,medio,canny,5.86,0.0471,0.59
16004_medio.png,medio,canny,6.57,0.0987,0.59
16068_medio.png,medio,canny,7.82,0.0421,1.21
17067_medio.png,medio,canny,5.13,0.0557,0.61
20069_medio.png,medio,canny,5.12,0.1358,0.42
2018_medio.png,medio,canny,3.88,0.1495,0.55
23050_medio.png,medio,canny,7.28,0.1153,0.99
3063_medio.png,medio,canny,4.34,0.1241,0.32
5096_medio.png,medio,canny,8.37,0.1056,0.5
6046_medio.png,medio,canny,5.07,0.0521,1.24
8068_medio.png,medio,canny,6.62,0.1005,0.41
10081_medio.png,medio,pidinet,5.61,0.1555,182.23
14085_medio.png,medio,pidinet,6.75,0.044,187.39
14092_medio.png,medio,pidinet,5.83,0.0926,171.71
15011_medio.png,medio,pidinet,6.82,0.1925,175.76
